"freelancer_id","name","gender","age","country","language","primary_skill","years_of_experience","hourly_rate_usd","rating","is_active","client_satisfaction"
"FL250921","Amy Fitzgerald","F","24.0","United States","English","Web Development","2","30","3.6",NULL,"0.92"
"FL250922","Anita Becker","F","49.0","Spain","Spanish","DevOps","4","75","2.1",NULL,"0.85"
"FL250923","Mrs. Amy Brooks","F","49.0","South Korea","Korean","AI","4","75","2.9","N",NULL
"FL250241","Christopher Guerra","M","34.0","India","Hindi","AI","11","40","1.2","Y",NULL
"FL250562","Nicole Davis","F","24.0","France","French","Cybersecurity","5","40","3","N","0.86"
"FL250805","Mark Ward","M","23.0","Germany","German","AI","4","50","4.5","N","0.98"
"FL250924","Lori Marshall","F","49.0","South Korea","Korean","Mobile Apps","24","100","3.6","Y",NULL
"FL250925","Jennifer Miller","F","58.0","Brazil","Portuguese","Blockchain Development","29","30","3.3","Y","0.89"
"FL250926","Thomas Young","M","50.0","South Africa","Afrikaans","UI/UX Design","13","40","2.5","Y","0.81"
"FL250927","Zachary Larsen","M","27.0","South Africa","Afrikaans","DevOps","1","100","3.7","Y","0.61"
"FL250928","Valerie Gutierrez","F","20.0","South Korea","Korean","Machine Learning","9","30","4.6","Y",NULL
"FL250929","Daniel Parker","M","52.0","Russia","Russian","Blockchain Development","15","40","0","Y","0.92"
"FL250930","Nicole Bennett","F","22.0","France","French","Machine Learning","2","30","2","N","0.96"
"FL250931","Lauren Lowery","F","38.0","Turkey","Turkish","Web Development","14","100","1.7","N","0.66"
"FL250932","Alexander Woodward","M","21.0","Canada","English","Graphic Design","0","100","3","N","0.64"
"FL250933","Anthony Walter","M","41.0","Australia","English","AI","15","40","3.4","N","1.00"
"FL250934","Valerie Finley","F","33.0","Indonesia","Indonesian","Blockchain Development","6","40","3.2","Y","0.95"
"FL250935","Deborah Kelley","F","38.0","Mexico","Spanish","Mobile Apps","11","40","2.8",NULL,"0.91"
"FL250936","Kristina Miller","F","26.0","Russia","Russian","DevOps","8","20","4.1","Y","0.82"
"FL250938","Sandra Henry","F","21.0","Italy","Italian","Cybersecurity","0","40","0","Y","0.95"
"FL250033","Robert Nelson","M","46.0","Egypt","Arabic","AI","9","20","1.4","Y","0.76"
"FL250146","Ashley Chen","F","59.0","Germany","German","AI","7","40","1.4","N","0.81"
"FL250317","Allen Lee","M","41.0","Netherlands","Dutch","DevOps","0","100","5","N",NULL
"FL250705","John Simpson","M","51.0","Canada","English","DevOps","4","50","2","N","0.92"
"FL250019","Tyler Aguirre","M","56.0","United States","English","UI/UX Design","31","50","1.1","N","0.75"
"FL250020","Matthew Lawson","M","57.0","Italy","Italian","Web Development","3","100","1.8","Y","0.68"
"FL250021","James Cherry","M","41.0","Indonesia","Indonesian","AI","9","50","1.8","N","0.65"
"FL250282","Kelly Jones","F","48.0","India","Hindi","Mobile Apps","6","30","2.6","N","0.96"
"FL250034","Michael Anderson","M","41.0","South Korea","Korean","AI","9","40","2.4","Y","0.82"
"FL250035","Jessica Snyder","F","54.0","United States","English","Web Development","32","75","1","Y","0.81"
"FL250036","Emily Daniels","F","52.0","South Korea","Korean","Web Development","28","20","2.6","N",NULL
"FL250037","Jamie Ramirez","F","42.0","Japan","Japanese","Mobile Apps","6","40","2.6","N","0.63"
"FL250038","Amy Harrison","F","29.0","Netherlands","Dutch","Graphic Design","10","40","2.2","N","0.67"
"FL250039","Melinda White","F","42.0","South Africa","Afrikaans","Mobile Apps","23","50","3.2","Y",NULL
"FL250040","James Hernandez","M","60.0","Japan","Japanese","Web Development","13","20","3.6","N","0.80"
"FL250041","Angelica Rogers","F","59.0","United Kingdom","English","AI","3","50","0","N",NULL
"FL250042","Savannah Williams","F","21.0","Canada","English","Web Development","0","30","2.7","Y","0.84"
"FL250043","Kaitlyn Schmidt","F","35.0","Germany","German","DevOps","10","50","0","N",NULL
"FL250044","Jason Singh","M","41.0","United Kingdom","English","Data Analysis","9","20","2.8","Y","0.63"
"FL250080","Noah Wiggins","M","54.0","India","Hindi","Machine Learning","21","100","4.6","N",NULL
"FL250081","Bridget Williams","F","33.0","Argentina","Spanish","UI/UX Design","12","100","3.6","N","0.63"
"FL250082","Veronica Baker","F","25.0","Egypt","Arabic","Web Development","7","40","4.4",NULL,"0.81"
"FL250083","Andrew Avila","M","41.0","China","Mandarin","DevOps","3","40","4.6","N","0.74"
"FL250084","Michael Roberson","M","35.0","South Korea","Korean","Web Development","5","75","3.2","N","0.72"
"FL250085","Austin Jenkins","M","59.0","South Korea","Korean","AI","30","40","0","Y",NULL
"FL250086","Brenda Green","F","21.0","China","Mandarin","DevOps","2","100","2.6","Y","0.85"
"FL250087","Samuel Pierce","M","25.0","United States","English","Mobile Apps","2","75","3.7","N",NULL
"FL250088","Briana Smith","F","38.0","Mexico","Spanish","Web Development","19","75","2.3","N","0.61"
"FL250089","Ronald Barrett","M","57.0","Russia","Russian","AI","16","100","3.1","N",NULL
"FL250090","Matthew Smith","M","32.0","India","Hindi","Mobile Apps","10","20","2.4","N","0.86"
"FL250091","Logan Huang","M","21.0","Italy","Italian","DevOps","2","100","1.6","Y","0.97"
"FL250092","Miranda Hutchinson","F","57.0","Canada","English","Cybersecurity","18","50","2.4","Y","0.63"
"FL250093","Paul Richardson","M","53.0","China","Mandarin","UI/UX Design","21","100","2.6","Y","0.97"
"FL250094","Jose Jones","M","35.0","Russia","Russian","Blockchain Development","3","30","3.8","Y","0.81"
"FL250095","Denise Smith","F","54.0","China","Mandarin","Machine Learning","17","20","1.7","N","0.69"
"FL250096","Shelby Mcmahon","F","36.0","Italy","Italian","UI/UX Design","0","20","1.3","Y","0.64"
"FL250097","Bethany Wright","F","49.0","Spain","Spanish","Cybersecurity","25","50","5","N","0.77"
"FL250098","David Ortiz","M","37.0","United States","English","Blockchain Development","17","20","3.3","N","0.96"
"FL250099","Andrew Lynch","M","41.0","United States","English","UI/UX Design","5","20","1.1","N","0.74"
"FL250100","Kristopher Meyers","M","32.0","Egypt","Arabic","UI/UX Design","10","50","1.2","N","0.89"
"FL250101","Thomas Roth","M","35.0","India","Hindi","Mobile Apps","0","40","2","Y","0.64"
"FL250102","Vicki Brown","F","51.0","Russia","Russian","Graphic Design","2","30","4.5","N","0.64"
"FL250103","Stacy Sutton","F","50.0","Russia","Russian","DevOps","30","100","3","Y","0.73"
"FL250104","Kimberly Holland","F","21.0","Turkey","Turkish","Blockchain Development","2","50","4.9","Y","0.68"
"FL250105","Travis Richardson","M","25.0","United States","English","Graphic Design","3","30","2.6","N","0.88"
"FL250106","Jasmin Ho","F","57.0","France","French","DevOps","21","40","2.5","N","0.77"
"FL250107","Mark Paul","M","58.0","Russia","Russian","Blockchain Development","3","40","0","Y",NULL
"FL250108","Jennifer Lewis","F","45.0","Indonesia","Indonesian","Mobile Apps","19","40","2.6","Y","0.72"
"FL250109","Elizabeth Lester","F","23.0","United States","English","Web Development","0","20","4.7","Y","0.60"
"FL250110","Kimberly Griffin","F","46.0","United States","English","AI","9","30","3.5",NULL,"0.72"
"FL250111","Tyler Warner","M","27.0","Argentina","Spanish","UI/UX Design","5","30","2.6","N","0.92"
"FL250112","Jane Cox","F","32.0","United States","English","Machine Learning","6","50","3.4","Y",NULL
"FL250113","Leah Williams","F","48.0","Argentina","Spanish","Machine Learning","6","75","2.5",NULL,"0.92"
"FL250114","Kevin Wong","M","30.0","Turkey","Turkish","Mobile Apps","3","30","1.1","Y",NULL
"FL250115","Robert Andrews","M","59.0","Turkey","Turkish","AI","13","20","4.8",NULL,NULL
"FL250116","Jessica Torres","F","32.0","Mexico","Spanish","AI","5","30","2.6","N","0.86"
"FL250117","Teresa Kim","F","57.0","Egypt","Arabic","UI/UX Design","4","40","3.4","Y","0.68"
"FL250118","Jon Morgan","M","27.0","Australia","English","Machine Learning","7","20","3.2","Y","0.62"
"FL250119","Gloria Chaney","F","33.0","Indonesia","Indonesian","Machine Learning","13","20","3.2","N",NULL
"FL250120","Jesse Campbell","M","29.0","South Korea","Korean","Data Analysis","4","30","0","Y","0.82"
"FL250121","Allison Tucker MD","F","36.0","Indonesia","Indonesian","UI/UX Design","13","75","2.6","Y",NULL
"FL250122","Candice Petersen","F","47.0","Italy","Italian","DevOps","5","40","3.7","N","0.93"
"FL250123","Christopher Nichols","M","48.0","Canada","English","Machine Learning","15","50","1","Y","0.64"
"FL250124","Debra Garcia","F","27.0","China","Mandarin","UI/UX Design","8","50","0",NULL,NULL
"FL250029","Megan Jones","F","47.0","Canada","English","AI","22","30","1.3","N","0.62"
"FL250125","Andrew Fuentes","M","34.0","Australia","English","Web Development","10","40","1.7","N","0.96"
"FL250126","Jason Carter","M","49.0","South Korea","Korean","Data Analysis","19","40","5","Y","0.83"
"FL250127","Austin Romero","M","30.0","Brazil","Portuguese","Mobile Apps","10","100","1.7","Y","0.64"
"FL250128","Clayton Burns","M","31.0","Egypt","Arabic","Graphic Design","8","40","4.4","N","0.70"
"FL250129","Jonathan Clark","M","58.0","China","Mandarin","Machine Learning","9","20","0","N","0.65"
"FL250130","Alexander Griffin","M","47.0","France","French","Machine Learning","13","40","3.4",NULL,"0.67"
"FL250131","Shelly Whitehead","F","45.0","United Kingdom","English","Cybersecurity","14","100","1.1","N","0.93"
"FL250132","Kaitlyn Davis","F","57.0","France","French","Machine Learning","0","50","1.6","N","0.60"
"FL250133","Christopher Jones","M","50.0","India","Hindi","Web Development","22","100","4.1","N","0.62"
"FL250134","Cindy Jacobs","F","41.0","Brazil","Portuguese","Machine Learning","4","40","2.5",NULL,"0.70"
"FL250135","Penny Day","F","45.0","Indonesia","Indonesian","Blockchain Development","22","100","4","Y","0.75"
"FL250136","Thomas Ingram","M","60.0","South Africa","Afrikaans","Cybersecurity","39","75","1.4","N","0.70"
"FL250137","Donna Hansen","F","43.0","United Kingdom","English","Cybersecurity","5","50","2.6","Y","0.84"
"FL250001","Ms. Nicole Kidd","F","52.0","Italy","Italian","Blockchain Development","11","100","2.6","N",NULL
"FL250138","Donna Bailey","F","39.0","France","French","Cybersecurity","5","40","1.2","N","0.83"
"FL250139","Joshua Armstrong","M","26.0","Mexico","Spanish","UI/UX Design","5","50","0","N",NULL
"FL250140","Jonathan Garza","M","31.0","Germany","German","Cybersecurity","11","50","3.1","N","0.88"
"FL250141","Charles Jones","M","52.0","France","French","UI/UX Design","15","50","0","Y","0.81"
"FL250142","Lindsey Miles","F","34.0","India","Hindi","Data Analysis","5","20","2.2","Y","0.80"
"FL250143","Eduardo Reed","M","45.0","United Kingdom","English","Web Development","7","75","3","Y","0.67"
"FL250144","Lee Fowler","M","46.0","United Kingdom","English","Cybersecurity","9","20","0","N","0.82"
"FL250145","Steven Jones Jr.","M","56.0","France","French","UI/UX Design","21","100","0","Y","0.78"
"FL250147","Erica Davis","F","54.0","Egypt","Arabic","Blockchain Development","4","40","1.4","Y","0.74"
"FL250148","Wayne Gonzales","M","36.0","Germany","German","UI/UX Design","7","30","0","N","0.88"
"FL250010","Matthew Lloyd","M","52.0","Turkey","Turkish","AI","22","50","2.6","Y",NULL
"FL250149","Gary Ballard","M","25.0","Mexico","Spanish","Data Analysis","0","40","0","N","0.90"
"FL250150","Maria Mcguire","F","37.0","Russia","Russian","Data Analysis","15","40","2.9","N",NULL
"FL250151","Matthew Richards","M","41.0","Turkey","Turkish","Data Analysis","10","40","0",NULL,NULL
"FL250152","Patrick Malone","M","29.0","Spain","Spanish","Data Analysis","11","20","2.7","N","0.93"
"FL250153","Cindy Martin","F","55.0","Argentina","Spanish","Mobile Apps","12","100","1.8","Y",NULL
"FL250154","Anne Edwards","F","38.0","Japan","Japanese","DevOps","20","75","1.1","N","0.71"
"FL250155","Mitchell Martin","M","47.0","South Korea","Korean","DevOps","29","40","4.3","Y","0.95"
"FL250156","Mitchell Patrick","M","60.0","Brazil","Portuguese","Web Development","15","100","1.5","N","0.80"
"FL250157","Rebecca Lyons","F","43.0","Italy","Italian","Data Analysis","9","20","2.2","N",NULL
"FL250158","Christian Lopez","M","56.0","South Africa","Afrikaans","Data Analysis","9","100","3.2","N","0.62"
"FL250159","Nathan Blair","M","42.0","Russia","Russian","DevOps","2","50","1.9","N","0.95"
"FL250160","Patricia Lopez","F","20.0","Spain","Spanish","Graphic Design","0","40","2.5","N","0.79"
"FL250161","Michelle Wu","F","47.0","Indonesia","Indonesian","UI/UX Design","12","40","4.5","N","0.62"
"FL250162","Donald Mitchell","M","41.0","Argentina","Spanish","Data Analysis","12","30","4.1","N","0.68"
"FL250163","Sean Gordon","M","56.0","Indonesia","Indonesian","DevOps","15","75","0","N",NULL
"FL250164","Gregory Clarke","M","59.0","United Kingdom","English","DevOps","29","75","2.6","N","0.80"
"FL250165","Steven Whitney","M","56.0","Japan","Japanese","Cybersecurity","15","40","3.7",NULL,"0.92"
"FL250166","Robin Acosta","F","31.0","South Africa","Afrikaans","Web Development","9","75","1.3","Y","0.65"
"FL250167","John Smith","M","60.0","South Korea","Korean","Mobile Apps","33","40","3.6","Y","0.87"
"FL250168","Susan Baker","F","31.0","Canada","English","Web Development","10","75","0","N","0.70"
"FL250169","Anthony Larsen","M","60.0","Argentina","Spanish","Cybersecurity","20","40","1.4","N","0.87"
"FL250170","Nicholas Carpenter","M","46.0","France","French","DevOps","23","20","2.9","N","0.72"
"FL250171","Debra Salazar","F","41.0","Netherlands","Dutch","Blockchain Development","9","40","2.8","N","0.80"
"FL250172","William Smith","M","34.0","Japan","Japanese","UI/UX Design","0","20","1.7","N","0.66"
"FL250173","Caroline Gross","F","42.0","Netherlands","Dutch","Graphic Design","7","40","0","Y",NULL
"FL250174","Jeremy Sawyer","M","31.0","United Kingdom","English","Data Analysis","4","75","1.1","Y","0.64"
"FL250175","Eduardo Burns","M","29.0","Brazil","Portuguese","UI/UX Design","9","20","2.6",NULL,"0.68"
"FL250176","Amanda Jones","F","57.0","Australia","English","Graphic Design","17","20","3.6","N","0.63"
"FL250177","Frederick Ware","M","47.0","India","Hindi","DevOps","8","20","4.5","Y","0.72"
"FL250178","Michael Black","M","47.0","South Africa","Afrikaans","AI","14","30","0","Y","0.86"
"FL250179","Patricia Sanders","F","45.0","France","French","Graphic Design","21","30","1.5","Y","0.73"
"FL250180","Marc Joseph","M","24.0","Turkey","Turkish","Machine Learning","1","30","3.7","N","0.95"
"FL250181","Vanessa White","F","31.0","Argentina","Spanish","Mobile Apps","12","20","2.3","N","0.90"
"FL250182","Jennifer Garcia","F","20.0","Mexico","Spanish","Graphic Design","2","20","2.8","N","0.78"
"FL250183","Michael Zavala","M","38.0","Japan","Japanese","Web Development","3","30","3.5","N","0.97"
"FL250184","Kimberly Williams","F","33.0","Germany","German","UI/UX Design","11","40","0","Y","0.65"
"FL250185","Elizabeth Jenkins","F","31.0","Australia","English","Web Development","4","40","3.2","Y","0.78"
"FL250186","Brandon Ford","M","41.0","Spain","Spanish","Machine Learning","21","50","3.3","Y","0.65"
"FL250187","Justin House","M","54.0","Turkey","Turkish","Web Development","0","20","4.9",NULL,NULL
"FL250188","Henry Mullen","M","50.0","Mexico","Spanish","Data Analysis","6","30","2.2","Y","0.95"
"FL250189","Jesse Cochran","M","48.0","Brazil","Portuguese","Machine Learning","18","40","2.6","Y","0.88"
"FL250190","Melissa Rich","F","49.0","Mexico","Spanish","Graphic Design","9","40","1.8","N",NULL
"FL250191","Patrick Dunlap","M","21.0","South Korea","Korean","Graphic Design","1","75","4.6","N","0.92"
"FL250192","Troy Carson","M","58.0","Australia","English","Graphic Design","20","75","2.8","N","0.75"
"FL250193","Matthew Smith","M","41.0","Italy","Italian","DevOps","9","30","1.4","N","0.74"
"FL250194","Jennifer Cherry","F","58.0","Russia","Russian","Blockchain Development","25","30","4.2","Y","0.71"
"FL250195","Brandi Tucker","F","50.0","South Africa","Afrikaans","Graphic Design","20","40","3.6","Y","0.89"
"FL250196","Zachary Burke","M","52.0","Indonesia","Indonesian","Web Development","33","100","1.6",NULL,"0.66"
"FL250197","Thomas Jones","M","34.0","Netherlands","Dutch","Data Analysis","6","100","2","N",NULL
"FL250198","Brian Dunn","M","32.0","France","French","Machine Learning","11","40","4.3","Y","0.86"
"FL250199","Shirley Strickland","F","50.0","India","Hindi","Graphic Design","28","100","4.9","Y","0.86"
"FL250200","Nicole Meyers","F","39.0","Argentina","Spanish","Data Analysis","11","100","3.5","Y","0.82"
"FL250201","Jill Stephens","F","25.0","Spain","Spanish","AI","2","100","2.5","N","0.87"
"FL250202","Heidi Miranda","F","55.0","China","Mandarin","Machine Learning","7","100","1.7","Y","0.80"
"FL250203","Jesus Martinez","M","42.0","Italy","Italian","DevOps","10","100","4.6","Y","0.71"
"FL250204","Adam Payne","M","43.0","Russia","Russian","Mobile Apps","6","50","2.6","N","0.77"
"FL250205","Walter Williams","M","54.0","Italy","Italian","DevOps","29","30","1.7","N","0.68"
"FL250206","Shannon Farmer","F","21.0","Egypt","Arabic","Graphic Design","0","20","1.8","N","0.91"
"FL250207","Peter Reyes","M","46.0","Canada","English","UI/UX Design","5","20","2.2","N","0.75"
"FL250208","Kristen Knight","F","30.0","Spain","Spanish","Blockchain Development","11","40","1","N","0.90"
"FL250209","William Moore Jr.","M","36.0","China","Mandarin","Machine Learning","11","75","3.2","N","0.93"
"FL250210","Jennifer Rowe","F","47.0","Germany","German","Data Analysis","15","40","2.1","Y","0.94"
"FL250211","Mikayla Henry","F","43.0","Canada","English","Mobile Apps","1","50","4.6","Y","0.64"
"FL250212","Jacob Kerr","M","57.0","South Korea","Korean","Cybersecurity","8","20","0","Y","0.84"
"FL250213","Ryan Johnson","M","52.0","Italy","Italian","Machine Learning","30","20","2.8","N","0.87"
"FL250214","Michael Ruiz","M","41.0","Germany","German","Blockchain Development","8","40","0","N","0.64"
"FL250215","Monica Roberts","F","22.0","Indonesia","Indonesian","Machine Learning","0","100","2.7","Y","0.64"
"FL250216","Danny Brown","M","41.0","India","Hindi","Machine Learning","12","20","0","Y","0.80"
"FL250217","Karen Larsen","F","58.0","Spain","Spanish","Mobile Apps","4","50","3.1","N","0.90"
"FL250218","Robert Evans","M","39.0","South Korea","Korean","Web Development","14","100","0","Y","0.92"
"FL250219","Sean Poole","M","32.0","Indonesia","Indonesian","Graphic Design","14","40","2.6","N","0.96"
"FL250220","Richard Quinn","M","37.0","Canada","English","UI/UX Design","2","30","2.3","Y",NULL
"FL250221","Jennifer Gonzalez","F","21.0","China","Mandarin","Cybersecurity","2","100","2.4","Y",NULL
"FL250222","James Skinner","M","41.0","South Korea","Korean","Machine Learning","4","75","2.6",NULL,"0.85"
"FL250224","Jacqueline Williams","F","58.0","China","Mandarin","Machine Learning","9","30","0","Y","0.65"
"FL250225","Darrell Johnson","M","60.0","Canada","English","Machine Learning","3","40","4.7","N","0.63"
"FL250226","Ryan Crawford","M","27.0","South Africa","Afrikaans","Web Development","2","40","1.2","N",NULL
"FL250227","Chelsea Barber","F","29.0","Germany","German","Machine Learning","10","40","1.2","N","0.78"
"FL250228","Elaine Martinez","F","54.0","Canada","English","Graphic Design","33","75","0","Y","0.62"
"FL250229","Joseph Kent","M","52.0","Mexico","Spanish","Machine Learning","12","40","1.2","N","0.76"
"FL250230","Megan Welch","F","55.0","Indonesia","Indonesian","Blockchain Development","18","100","2.9","N","0.97"
"FL250231","Stephen Ramirez","M","37.0","Brazil","Portuguese","Blockchain Development","4","40","2.6","N",NULL
"FL250232","Chloe Gray","F","34.0","Egypt","Arabic","Data Analysis","11","50","3.9","Y","0.82"
"FL250233","Michael Williams Jr.","M","20.0","France","French","Data Analysis","1","50","3.1",NULL,"0.71"
"FL250234","Matthew Martin","M","22.0","Mexico","Spanish","UI/UX Design","2","40","0","Y",NULL
"FL250235","Julia Murphy","F","23.0","South Korea","Korean","Graphic Design","2","50","3.2","Y",NULL
"FL250236","Anna Evans","F","53.0","South Korea","Korean","Blockchain Development","34","30","2.6","Y",NULL
"FL250237","Brenda Fleming","F","56.0","South Korea","Korean","Graphic Design","27","100","4.7","Y","0.69"
"FL250238","Daniel Harrington","M","27.0","Canada","English","AI","4","75","5","N","0.88"
"FL250239","Daniel Barnett","M","34.0","Italy","Italian","Mobile Apps","11","40","2.6","N","0.67"
"FL250240","Mark Cummings","M","29.0","United States","English","Web Development","4","50","4","N",NULL
"FL250242","Sarah Ho","F","32.0","Mexico","Spanish","AI","1","100","4.7","N","0.67"
"FL250243","Veronica Thomas","F","21.0","South Africa","Afrikaans","Machine Learning","2","20","2.4",NULL,"0.86"
"FL250244","Mitchell Watson","M","20.0","Mexico","Spanish","Graphic Design","2","40","1.1","N","0.69"
"FL250245","Monica Murphy","F","35.0","United States","English","Mobile Apps","10","50","1.4","Y","0.85"
"FL250246","Kristen Williams","F","47.0","United States","English","UI/UX Design","18","40","3.4","N","0.60"
"FL250247","Nicole Wright","F","41.0","Turkey","Turkish","Blockchain Development","4","40","2.7","Y","0.70"
"FL250248","Andrew Ruiz","M","58.0","Argentina","Spanish","Web Development","23","40","4.9","N",NULL
"FL250249","Zachary Jackson","M","34.0","China","Mandarin","Data Analysis","6","75","1.9","Y","0.81"
"FL250250","Stephanie Carter","F","50.0","India","Hindi","Mobile Apps","5","100","2.6","Y",NULL
"FL250251","Amy Olson","F","42.0","Mexico","Spanish","DevOps","19","75","4.6","N","0.78"
"FL250252","Fred Stark","M","43.0","Germany","German","UI/UX Design","6","50","0","N","0.81"
"FL250253","Jacob Gill","M","34.0","Germany","German","Data Analysis","8","75","1.8","Y","0.71"
"FL250254","Anthony Nichols","M","24.0","Spain","Spanish","Mobile Apps","3","75","2","N",NULL
"FL250255","William Knapp","M","48.0","South Africa","Afrikaans","UI/UX Design","8","30","5","Y","0.99"
"FL250256","Elizabeth Walker","F","39.0","South Korea","Korean","Data Analysis","12","20","3.2","Y","0.66"
"FL250257","Brenda Reeves","F","57.0","Australia","English","Blockchain Development","30","30","2.4",NULL,"0.80"
"FL250258","Carrie Little","F","44.0","Canada","English","Web Development","21","100","2.9","N","0.83"
"FL250259","Steven Jackson","M","37.0","Brazil","Portuguese","UI/UX Design","17","20","0","Y","0.87"
"FL250260","Mark Perry","M","50.0","Turkey","Turkish","Data Analysis","9","30","3","N","0.76"
"FL250261","Cameron Spencer","M","50.0","Spain","Spanish","UI/UX Design","2","50","1.6","N","0.89"
"FL250262","Jennifer Holmes","F","28.0","France","French","Graphic Design","1","20","3.6","Y","0.94"
"FL250263","Jacob Joseph","M","48.0","Italy","Italian","Web Development","23","40","2.1","N","0.68"
"FL250264","Jeffery Tucker","M","42.0","Germany","German","DevOps","8","30","3.6","Y","0.96"
"FL250265","Jacqueline Drake","F","37.0","Canada","English","Data Analysis","6","20","2.7","Y","0.91"
"FL250266","Brian Bautista","M","21.0","India","Hindi","Blockchain Development","1","100","2.1","Y","0.92"
"FL250267","Dakota Wells","M","50.0","South Korea","Korean","Web Development","19","40","4.9",NULL,"0.82"
"FL250268","Julie White","F","22.0","Argentina","Spanish","AI","2","30","2.1",NULL,NULL
"FL250269","Barbara Keith","F","39.0","Japan","Japanese","Web Development","21","100","0","N","0.91"
"FL250270","Heather Camacho","F","25.0","Japan","Japanese","Machine Learning","3","50","2.8","Y","0.86"
"FL250271","Melanie Harris","F","47.0","South Africa","Afrikaans","Mobile Apps","14","40","2.6","N","0.69"
"FL250272","Jacqueline Peterson","F","35.0","South Africa","Afrikaans","UI/UX Design","10","100","4.7","Y","0.84"
"FL250273","Nancy Long","F","41.0","United Kingdom","English","Cybersecurity","5","100","1.3","N","0.60"
"FL250274","Mr. Juan Mitchell","M","35.0","Netherlands","Dutch","Blockchain Development","6","75","1.6","Y","0.97"
"FL250275","William Gaines","M","59.0","France","French","Web Development","21","100","0",NULL,"0.70"
"FL250276","Haley Yates","F","26.0","China","Mandarin","UI/UX Design","4","100","3.6","N","0.81"
"FL250277","Richard Mcguire","M","44.0","Russia","Russian","Machine Learning","18","20","4.7","Y","0.88"
"FL250278","Stephanie Fisher","F","31.0","South Africa","Afrikaans","UI/UX Design","12","40","2.6","Y","1.00"
"FL250279","Anthony Goodwin DDS","M","60.0","Turkey","Turkish","Data Analysis","6","40","3.2","N","0.95"
"FL250280","Meagan Walters","F","23.0","United Kingdom","English","Blockchain Development","4","20","2.6","N","0.71"
"FL250281","David Powell","M","42.0","Indonesia","Indonesian","UI/UX Design","13","20","4.7","N","0.85"
"FL250283","Dr. Michael Aguilar","M","42.0","Netherlands","Dutch","Graphic Design","10","20","2.4","Y","0.92"
"FL250284","Alex Novak","M","52.0","South Korea","Korean","Cybersecurity","20","50","2.6","N","0.79"
"FL250285","Ann Contreras","F","55.0","Japan","Japanese","Web Development","20","75","2.9","N",NULL
"FL250286","Mary Reed","F","58.0","South Africa","Afrikaans","Cybersecurity","11","50","0","N",NULL
"FL250287","Lauren Ross","F","46.0","South Korea","Korean","Machine Learning","12","20","0","N","0.89"
"FL250288","Candice Wise","F","45.0","Spain","Spanish","Machine Learning","1","100","1.5","Y","1.00"
"FL250289","Joyce Humphrey","F","56.0","India","Hindi","Machine Learning","2","30","1.9","Y","0.81"
"FL250290","James Carr","M","44.0","United Kingdom","English","Blockchain Development","13","100","3.1","Y","0.95"
"FL250291","Joseph Mendoza","M","46.0","Indonesia","Indonesian","UI/UX Design","0","40","1.8","N","0.88"
"FL250292","Cathy Baldwin","F","27.0","Japan","Japanese","Web Development","7","30","2.4","Y","0.66"
"FL250293","Christine Hart","F","49.0","India","Hindi","Blockchain Development","13","100","4.2","Y","0.84"
"FL250294","Mike Stanley","M","53.0","Mexico","Spanish","Web Development","21","50","1.4","N",NULL
"FL250295","Jeffrey Edwards","M","56.0","Australia","English","Web Development","19","40","1.2","Y","0.82"
"FL250296","Amy Lee","F","56.0","United Kingdom","English","DevOps","34","40","2.1","Y","0.84"
